composer,born,dead,period
"Albéniz, Isaac ",1860,1909,Romanticism
"Bach, Johann Sebastian ",1685,1750,Baroque
"Balakirew, Mili Alexejewitsch ",1837,1910,Romanticism
"Beethoven, Ludwig van ",1770,1827,Classicism
"Borodin, Alexander ",1833,1887,Romanticism
"Brahms, Johannes ",1833,1897,Romanticism
"Burgmueller, Friedrich ",1806,1874,Romanticism
"Chopin, Frédéric ",1810,1849,Romanticism
"Clementi, Muzio ",1752,1832,Classicism
"Debussy, Claude ",1862,1918,Romanticism
"Godowsky, Leopold ",1870,1938,Romanticism
"Granados, Enrique ",1867,1916,Romanticism
"Grieg, Edvard ",1843,1907,Romanticism
"Haydn, Joseph ",1732,1809,Classicism
"Liszt, Franz ",1811,1886,Romanticism
"Mendelssohn, Felix ",1809,1847,Romanticism
"Moszkowski, Moritz ",1854,1925,Romanticism
"Mozart, Wolfgang Amadeus ",1756,1791,Classicism
"Mussorgsky, Modest ",1839,1881,Romanticism
"Rachmaninov, Sergey ",1873,1943,Romanticism
"Ravel, Maurice ",1875,1937,Romanticism
"Schubert, Franz ",1797,1828,Romanticism
"Schumann, Robert ",1810,1856,Romanticism
"Sinding, Christian ",1856,1941,Romanticism
"Tchaikovsky, Peter",1840,1893,Romanticism
